Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Erving's Grant,89949,-4.71,-2.64,2.64,4.71,0.0,0,50191,-4.62,4.62,1.75,-1.75,0.0,0
Exeter,1830320212,7.87,13.89,2.46,1.06,25.28,46270494972,2196207682,5.91,0.92,1.99,15.67,24.49,53404715
Farmington,549773994,7.13,8.12,2.35,2.4,20.0,10995479890,557174859,6.4,2.47,1.89,12.16,22.92,12524607
Fitzwilliam,359035092,4.69,15.0,2.04,2.86,24.59,8828672912,298406160,4.96,3.7,1.96,15.14,25.76,7493042
Francestown,245470025,6.7,10.51,2.49,1.05,20.75,5093503038,217929959,7.86,1.02,1.83,15.15,25.86,5594632
Franconia,332063809,4.28,8.0,2.51,1.5,16.29,5409319460,291207993,6.47,1.88,2.02,8.13,18.5,5355630
Franklin,660022447,10.82,5.45,2.46,2.79,21.52,14203683070,692559061,11.87,2.57,1.95,6.45,22.84,15524327
Freedom,570121957,3.72,4.23,2.47,1.07,11.49,6550701286,652134439,3.65,1.05,1.7,4.27,10.67,6920691
Fremont,425021510,3.36,20.54,2.37,1.0,27.27,11590336582,535327528,3.94,0.87,1.85,16.47,23.13,12136356
Gilford,1781579790,4.93,9.35,2.74,1.53,18.55,33048305121,2149486818,4.65,1.12,1.84,7.42,15.03,32260148
Gilmanton,554657528,6.05,13.68,2.42,1.36,23.51,13039998503,544678795,5.61,1.13,1.82,14.64,23.2,12601071
Gilsum,76127063,5.72,14.56,2.43,3.24,25.95,1975497290,71965174,6.84,3.46,1.85,13.6,25.75,1844162
Goffstown,1547043147,9.71,10.78,2.52,1.16,24.17,37392032862,1732938400,8.24,1.12,1.99,13.47,24.82,42390384
Gorham,361088559,11.21,9.58,2.29,3.72,26.8,9677173381,274857509,12.03,4.71,2.04,13.07,31.85,8592016
Goshen,88001837,7.68,8.84,2.31,2.93,21.76,1914919990,82975721,8.41,2.51,1.76,10.29,22.97,1880264
Grafton,150127808,4.52,9.65,2.31,1.45,17.93,2691791601,141067659,6.3,1.62,1.74,17.19,26.85,3734693
